Sample	Population	Source	Haplotype	Sample_hap	x1	x2
HG00188	Finnish	1000G	1	HG00188_H2	31.531619780777987	-56.632986804829414
HG00189	Finnish	1000G	0	HG00189_H1	32.264562590500965	-54.76779452043081
HG00189	Finnish	1000G	1	HG00189_H2	31.83379866610712	-55.37845878586246
HG00190	Finnish	1000G	0	HG00190_H1	30.604685141558264	-59.13608064689018
HG00190	Finnish	1000G	1	HG00190_H2	30.95850750314029	-55.824262098621844
HG00231	British	1000G	0	HG00231_H1	29.825090729757818	-64.12115372557432
HG00231	British	1000G	1	HG00231_H2	29.13832634984508	-63.21384917736657
HG00233	British	1000G	0	HG00233_H1	27.649703571773124	-64.11254214071991
HG00233	British	1000G	1	HG00233_H2	28.529268283736656	-65.37746241935079
HG00234	British	1000G	0	HG00234_H1	30.33936369032356	-64.49609948892007
HG00234	British	1000G	1	HG00234_H2	28.37653031093923	-64.96503917316582
HG00236	British	1000G	0	HG00236_H1	28.66155957642615	-64.31340119986073
HG00236	British	1000G	1	HG00236_H2	27.760226274083088	-65.3993836685891
HG00238	British	1000G	0	HG00238_H1	29.08030968721502	-63.63873405928675
HG00238	British	1000G	1	HG00238_H2	29.825728687754427	-64.92979443652237
HG00239	British	1000G	0	HG00239_H1	29.165057960094337	-64.52184433847206
HG00239	British	1000G	1	HG00239_H2	28.278720655583655	-66.24820674752418
HG00240	British	1000G	0	HG00240_H1	28.70903338695159	-63.70667811558869
HG00240	British	1000G	1	HG00240_H2	29.933363293916436	-65.74833171702679
HG00242	British	1000G	0	HG00242_H1	28.53897852925227	-63.416449836439085
HG00242	British	1000G	1	HG00242_H2	29.591021869025766	-64.37769367571029
HG00243	British	1000G	0	HG00243_H1	28.998565629133203	-65.78396835551786
HG00243	British	1000G	1	HG00243_H2	29.83627607961502	-64.05132261152082
HG00244	British	1000G	0	HG00244_H1	29.931170251463193	-64.56088150838238
HG00244	British	1000G	1	HG00244_H2	28.8553448400818	-63.93668079479842
HG00245	British	1000G	0	HG00245_H1	28.55566475849397	-62.80220294226346
HG00245	British	1000G	1	HG00245_H2	28.006197020710616	-65.1768514299284
HG00246	British	1000G	0	HG00246_H1	29.286586744870505	-63.64180525355786
HG00246	British	1000G	1	HG00246_H2	28.560588163068225	-63.81166880486583
HG00250	British	1000G	0	HG00250_H1	28.971077693522645	-63.74776788525048
HG00250	British	1000G	1	HG00250_H2	30.130780849935825	-64.30546823617082
HG00251	British	1000G	0	HG00251_H1	29.566350375384758	-64.69104721403421
HG00251	British	1000G	1	HG00251_H2	29.916402746660196	-63.97228459504288
HG00252	British	1000G	0	HG00252_H1	28.834579850966243	-63.5505686439183
HG00252	British	1000G	1	HG00252_H2	31.081385398212674	-63.818397705382196
HG00254	British	1000G	0	HG00254_H1	28.18267168685407	-64.4781871800627
